epoch,step,train/acc,train/loss,val/acc,val/loss
0,421,,,0.11100000143051147,2.3138442039489746
0,421,0.11116666346788406,3.915666103363037,,
1,843,,,0.11100000143051147,2.3123526573181152
1,843,0.11251851916313171,2.3392462730407715,,
2,1265,,,0.11100000143051147,2.3109445571899414
2,1265,0.11251851916313171,2.339205026626587,,
