id,state,name,_runtime,_step,_timestamp,_wandb,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
1evg4xz2,finished,northern-sweep-161,36.969446897506714,221,1749833661.9498868,{'runtime': 37},-1.4901010990142822,-1.4877365827560425,60,0.00019487357349134984,7599,144.11419677734375,10.0,0.01,0.01,0.01,10,10.0,0.01,0.01,200,1,Adam,,mse_loss
s0p5rqmd,finished,sunny-sweep-160,35.79976177215576,221,1749833616.4754727,{'runtime': 36},0.0038644103333354,-0.1199154257774353,60,0.00011939193063881248,7599,146.79542541503906,10.0,0.001,0.01,1e-06,10,10.0,1e-06,0.001,200,1,Adam,,mse_loss
ug66e8op,finished,true-sweep-158,60.342817544937134,344,1749833627.1675265,{'runtime': 60},-0.0048428489826619625,-3.493184804916382,109,0.01776634156703949,13749,144.20692443847656,10.0,0.001,0.01,0.0001,10,10.0,0.0001,0.001,200,1,Adam,,mse_loss
cijcqcop,finished,glorious-sweep-159,36.765860080718994,221,1749833603.638317,{'runtime': 37},0.003610152285546064,0.3845939040184021,60,0.00011903594713658094,7599,146.6682891845703,10.0,0.001,0.01,1e-05,10,10.0,1e-05,0.001,200,1,Adam,,mse_loss
wnqtzaxw,finished,morning-sweep-157,36.01803970336914,221,1749833602.8439507,{'runtime': 36},0.7663730978965759,0.7640846371650696,60,0.00020424228569027036,7599,144.11383056640625,10.0,0.001,0.01,0.001,10,10.0,0.001,0.001,200,1,Adam,,mse_loss
qu992093,finished,zesty-sweep-156,35.97644257545471,221,1749833556.8421917,{'runtime': 36},-1.4324421882629397,-1.4301446676254272,60,0.00019160243391525,7599,144.11424255371094,10.0,0.001,0.01,0.01,10,10.0,0.01,0.001,200,1,Adam,,mse_loss
bifx7xcj,finished,cerulean-sweep-155,36.13595962524414,221,1749833547.5603006,{'runtime': 36},0.0036126894410699606,0.3960026502609253,60,0.00011857663048431276,7599,146.7834930419922,10.0,0.0001,0.01,1e-06,10,10.0,1e-06,0.0001,200,1,Adam,,mse_loss
4isis02d,finished,cosmic-sweep-154,36.21408462524414,221,1749833543.6888666,{'runtime': 37},-0.003791227471083402,0.2292022407054901,60,0.00011934839858440682,7599,146.67092895507812,10.0,0.0001,0.01,1e-05,10,10.0,1e-05,0.0001,200,1,Adam,,mse_loss
lxwwlvn0,finished,ancient-sweep-153,61.203471183776855,344,1749833544.4320705,{'runtime': 61},-0.004679014906287193,-3.484433650970459,109,0.01776716485619545,13749,144.2084197998047,10.0,0.0001,0.01,0.0001,10,10.0,0.0001,0.0001,200,1,Adam,,mse_loss
hzmw0bdz,finished,drawn-sweep-152,36.16036438941955,221,1749833497.4975977,{'runtime': 37},0.7544156312942505,0.7521908283233643,60,0.0002027079463005066,7599,144.1138458251953,10.0,0.0001,0.01,0.001,10,10.0,0.001,0.0001,200,1,Adam,,mse_loss
shd9m5z8,finished,glowing-sweep-151,36.76672649383545,221,1749833490.2244184,{'runtime': 37},-1.5114996433258057,-1.5091058015823364,60,0.00019607809372246263,7599,144.11419677734375,10.0,0.0001,0.01,0.01,10,10.0,0.01,0.0001,200,1,Adam,,mse_loss
mhtyofoc,finished,jolly-sweep-150,37.64930534362793,221,1749833460.6870794,{'runtime': 38},0.004190510138869286,-2.298222064971924,60,0.00011972904758295044,7599,144.33941650390625,1.0,10.0,0.01,1e-06,10,1.0,1e-06,10.0,200,1,Adam,,mse_loss
90wmxryc,finished,scarlet-sweep-149,36.20445156097412,221,1749833439.9008346,{'runtime': 36},0.004148199688643217,-2.309337854385376,60,0.00011951179476454854,7599,144.32449340820312,1.0,10.0,0.01,1e-05,10,1.0,1e-05,10.0,200,1,Adam,,mse_loss
b91yn6pg,finished,cosmic-sweep-148,81.52609634399414,454,1749833485.2219834,{'runtime': 82},-0.00979206431657076,-7.652873992919922,153,0.0004047869588248432,19249,144.1192169189453,1.0,10.0,0.01,0.0001,10,1.0,0.0001,10.0,200,1,Adam,,mse_loss
zbyn0nk2,finished,sage-sweep-147,37.00930333137512,221,1749833417.5528984,{'runtime': 37},-0.24051016569137573,-0.2393248975276947,60,0.00021818943787366152,7599,144.11390686035156,1.0,10.0,0.01,0.001,10,1.0,0.001,10.0,200,1,Adam,,mse_loss
mc0ipsbr,finished,decent-sweep-146,36.11708617210388,221,1749833357.7946851,{'runtime': 36},0.9385316371917723,0.9381717443466188,60,0.00021586730144917965,7599,144.11386108398438,1.0,10.0,0.01,0.01,10,1.0,0.01,10.0,200,1,Adam,,mse_loss
pjhfr0x4,finished,fluent-sweep-145,118.56857323646544,734,1749833401.75432,{'runtime': 119},0.006194350775331259,1.307632327079773,195,0.01403395552188158,24499,36.62376403808594,1.0,1.0,0.01,1e-06,10,1.0,1e-06,1.0,200,1,Adam,,mse_loss
y0zgdfnu,finished,stilted-sweep-144,115.51599979400636,734,1749833383.6282148,{'runtime': 116},0.005940577015280724,1.3076311349868774,195,0.014027433469891548,24499,36.61240768432617,1.0,1.0,0.01,1e-05,10,1.0,1e-05,1.0,200,1,Adam,,mse_loss
q73wrcgt,finished,comfy-sweep-143,115.99092268943788,734,1749833384.2147937,{'runtime': 116},0.009333697147667408,1.3028912544250488,195,0.013860492035746574,24499,36.39957046508789,1.0,1.0,0.01,0.0001,10,1.0,0.0001,1.0,200,1,Adam,,mse_loss
ao3khzax,finished,charmed-sweep-142,54.43476939201355,399,1749833296.5074215,{'runtime': 55},0.698723316192627,1.1264636516571045,61,0.023390643298625943,7749,36.38511657714844,1.0,1.0,0.01,0.001,10,1.0,0.001,1.0,200,1,Adam,,mse_loss
0p4wlc0q,finished,warm-sweep-141,55.22527027130127,399,1749833259.098493,{'runtime': 55},0.9877627491950988,1.0423587560653689,61,0.022685054689645767,7749,36.33491897583008,1.0,1.0,0.01,0.01,10,1.0,0.01,1.0,200,1,Adam,,mse_loss
8edrrzap,finished,stellar-sweep-140,67.65668392181396,477,1749833246.505772,{'runtime': 68},-0.0024989319499582052,0.2854636013507843,94,0.013800286687910557,11849,15.570034980773926,1.0,0.1,0.01,1e-06,10,1.0,1e-06,0.1,200,1,Adam,,mse_loss
9qqkoyby,finished,autumn-sweep-139,68.50813674926758,477,1749833247.1308668,{'runtime': 69},-0.0022667336743324995,0.2854093313217163,94,0.013785602524876596,11849,15.55966091156006,1.0,0.1,0.01,1e-05,10,1.0,1e-05,0.1,200,1,Adam,,mse_loss
iljo7qq2,finished,crisp-sweep-138,69.50553750991821,477,1749833217.1126535,{'runtime': 70},0.021084005013108253,0.2811911106109619,94,0.013662411831319332,11849,15.348466873168944,1.0,0.1,0.01,0.0001,10,1.0,0.0001,0.1,200,1,Adam,,mse_loss
mveqk17u,finished,polished-sweep-137,96.92000436782835,622,1749833180.9878974,{'runtime': 97},0.7996709942817688,0.1738721877336502,152,0.004561339505016804,19099,15.334453582763672,1.0,0.1,0.01,0.001,10,1.0,0.001,0.1,200,1,Adam,,mse_loss
7dfkbw7f,finished,visionary-sweep-136,71.36767292022705,497,1749833155.4532468,{'runtime': 72},0.9964360594749452,0.09186212718486786,102,0.007448178250342608,12849,15.28452968597412,1.0,0.1,0.01,0.01,10,1.0,0.01,0.1,200,1,Adam,,mse_loss
fmt8u1po,finished,rich-sweep-135,94.91706085205078,707,1749833156.2097118,{'runtime': 95},0.005449998192489147,0.169220432639122,117,0.009536688216030598,14749,12.792472839355469,1.0,0.01,0.01,1e-06,10,1.0,1e-06,0.01,200,1,Adam,,mse_loss
8em6nchp,finished,hearty-sweep-134,96.72070646286012,707,1749833123.730173,{'runtime': 97},0.005422074813395739,0.16929998993873596,117,0.009506977163255216,14749,12.786500930786133,1.0,0.01,0.01,1e-05,10,1.0,1e-05,0.01,200,1,Adam,,mse_loss
6fx3eb7u,finished,fast-sweep-132,94.5450222492218,707,1749833063.7500184,{'runtime': 95},0.7451008558273315,0.049919817596673965,117,0.005912342108786106,14749,12.565275192260742,1.0,0.01,0.01,0.001,10,1.0,0.001,0.01,200,1,Adam,,mse_loss
zc6mqwrn,finished,solar-sweep-133,96.1410505771637,707,1749833065.3335266,{'runtime': 96},0.03233836963772774,0.16217753291130066,117,0.00929843820631504,14749,12.57862377166748,1.0,0.01,0.01,0.0001,10,1.0,0.0001,0.01,200,1,Adam,,mse_loss
0bj5m0kc,finished,fast-sweep-131,74.55809903144836,602,1749833035.741381,{'runtime': 75},0.908589780330658,0.0003480252344161272,75,0.00537751242518425,9499,12.515053749084473,1.0,0.01,0.01,0.01,10,1.0,0.01,0.01,200,1,Adam,,mse_loss
knw41bz0,finished,sweet-sweep-130,97.0023672580719,707,1749833005.2315264,{'runtime': 97},0.005249872338026762,0.15127791464328766,117,0.009916366077959538,14749,12.446494102478027,1.0,0.001,0.01,1e-06,10,1.0,1e-06,0.001,200,1,Adam,,mse_loss
7wc59hd9,finished,giddy-sweep-129,94.26922011375429,707,1749832948.3549142,{'runtime': 94},0.002829186851158738,0.15140338242053986,117,0.009833276271820068,14749,12.453453063964844,1.0,0.001,0.01,1e-05,10,1.0,1e-05,0.001,200,1,Adam,,mse_loss
li2vjgq4,finished,curious-sweep-128,95.97831678390504,707,1749832949.7837207,{'runtime': 96},0.03565394878387451,0.1439870297908783,117,0.009644788689911366,14749,12.240674018859863,1.0,0.001,0.01,0.0001,10,1.0,0.0001,0.001,200,1,Adam,,mse_loss
vx88jodi,finished,likely-sweep-127,94.42405796051024,707,1749832940.901089,{'runtime': 95},0.7597076892852783,0.03686802089214325,117,0.00611520279198885,14749,12.227606773376465,1.0,0.001,0.01,0.001,10,1.0,0.001,0.001,200,1,Adam,,mse_loss
lgk5ybs6,finished,efficient-sweep-126,77.08130264282227,602,1749832885.5016966,{'runtime': 77},0.904808759689331,-0.00797600019723177,75,0.005646690260618925,9499,12.177465438842772,1.0,0.001,0.01,0.01,10,1.0,0.01,0.001,200,1,Adam,,mse_loss
zova901t,finished,decent-sweep-125,95.25698018074036,707,1749832834.99059,{'runtime': 95},0.0028264904394745827,0.14955410361289978,117,0.009875549003481863,14749,12.421064376831056,1.0,0.0001,0.01,1e-06,10,1.0,1e-06,0.0001,200,1,Adam,,mse_loss
f8a72crc,finished,electric-sweep-124,94.69045281410216,707,1749832826.6953597,{'runtime': 95},0.0033744557294994593,0.14950402081012726,117,0.0099008958786726,14749,12.424537658691406,1.0,0.0001,0.01,1e-05,10,1.0,1e-05,0.0001,200,1,Adam,,mse_loss
f71h8b9t,finished,solar-sweep-123,96.99313616752625,707,1749832806.3065531,{'runtime': 97},0.03102623112499714,0.14305761456489563,117,0.009713774546980858,14749,12.206417083740234,1.0,0.0001,0.01,0.0001,10,1.0,0.0001,0.0001,200,1,Adam,,mse_loss
jo708v5s,finished,leafy-sweep-122,95.4155113697052,707,1749832782.8158624,{'runtime': 96},0.7504649758338928,0.03718449547886848,117,0.006194042973220348,14749,12.19261360168457,1.0,0.0001,0.01,0.001,10,1.0,0.001,0.0001,200,1,Adam,,mse_loss
ekfsqe97,finished,frosty-sweep-121,72.46184825897217,602,1749832717.940421,{'runtime': 73},0.9042522311210632,-0.008775818161666393,75,0.005679342430084944,9499,12.142422676086426,1.0,0.0001,0.01,0.01,10,1.0,0.01,0.0001,200,1,Adam,,mse_loss
0d176a1h,finished,honest-sweep-120,52.950578927993774,321,1749832688.133184,{'runtime': 53},-0.011200957000255585,10.40215015411377,100,0.08413217216730118,12599,143.10977172851562,0.1,10.0,0.01,1e-06,10,0.1,1e-06,10.0,200,1,Adam,,mse_loss
itzzrs93,finished,snowy-sweep-119,50.885210037231445,321,1749832638.322316,{'runtime': 51},-0.0036252406425774097,10.39076328277588,100,0.0841827243566513,12599,143.10545349121094,0.1,10.0,0.01,1e-05,10,0.1,1e-05,10.0,200,1,Adam,,mse_loss
0oesk78z,finished,distinctive-sweep-118,52.51494240760803,321,1749832629.2867904,{'runtime': 53},0.03705061599612236,10.27541160583496,100,0.08460304886102676,12599,143.0995635986328,0.1,10.0,0.01,0.0001,10,0.1,0.0001,10.0,200,1,Adam,,mse_loss
wscj2443,finished,visionary-sweep-117,52.15298271179199,321,1749832624.8253927,{'runtime': 52},0.04289231076836586,10.25998878479004,100,0.08461306989192963,12599,143.08595275878906,0.1,10.0,0.01,0.001,10,0.1,0.001,10.0,200,1,Adam,,mse_loss
ztaiqjg3,finished,peachy-sweep-116,52.35407519340515,321,1749832550.022282,{'runtime': 53},0.056518375873565674,10.223840713500977,100,0.0836315006017685,12599,142.96351623535156,0.1,10.0,0.01,0.01,10,0.1,0.01,10.0,200,1,Adam,,mse_loss
6zkzu7ad,finished,effortless-sweep-115,86.9611804485321,682,1749832564.9142444,{'runtime': 87},0.0014210166409611702,1.0684551000595093,120,0.013242116197943687,15099,26.234317779541016,0.1,1.0,0.01,1e-06,10,0.1,1e-06,1.0,200,1,Adam,,mse_loss
jk85mynn,finished,misunderstood-sweep-114,89.1633551120758,682,1749832553.2986631,{'runtime': 89},0.0014070243341848254,1.0684300661087036,120,0.013259842060506344,15099,26.234722137451172,0.1,1.0,0.01,1e-05,10,0.1,1e-05,1.0,200,1,Adam,,mse_loss
zs8e2z6i,finished,leafy-sweep-113,88.85255765914917,682,1749832477.1217127,{'runtime': 89},-0.00517955981194973,1.0588041543960571,120,0.013344751670956612,15099,26.215435028076172,0.1,1.0,0.01,0.0001,10,0.1,0.0001,1.0,200,1,Adam,,mse_loss
pvu1fmcz,finished,glamorous-sweep-112,87.24283909797668,682,1749832455.786282,{'runtime': 87},0.05722677335143089,1.0237542390823364,120,0.012941925786435604,15099,26.199478149414062,0.1,1.0,0.01,0.001,10,0.1,0.001,1.0,200,1,Adam,,mse_loss
kcbpm0lf,finished,confused-sweep-111,89.40752863883972,682,1749832443.5468626,{'runtime': 90},0.07875364273786545,1.01447856426239,120,0.013388230465352535,15099,26.097806930541992,0.1,1.0,0.01,0.01,10,0.1,0.01,1.0,200,1,Adam,,mse_loss
garx6u24,finished,electric-sweep-110,71.04793548583984,665,1749832364.7793894,{'runtime': 71},0.00062449841061607,0.0924828052520752,50,0.0023863965179771185,6349,4.056851387023926,0.1,0.1,0.01,1e-06,10,0.1,1e-06,0.1,200,1,Adam,,mse_loss
2ri9y3o9,finished,jolly-sweep-109,69.8501660823822,665,1749832348.892246,{'runtime': 70},0.0006251714657992125,0.09248656034469604,50,0.002385785337537527,6349,4.055420398712158,0.1,0.1,0.01,1e-05,10,0.1,1e-05,0.1,200,1,Adam,,mse_loss
vbzjiehc,finished,polar-sweep-108,71.86746549606323,665,1749832331.0661216,{'runtime': 72},0.004484724253416061,0.09388285875320436,50,0.0023715468123555183,6349,4.035665035247803,0.1,0.1,0.01,0.0001,10,0.1,0.0001,0.1,200,1,Adam,,mse_loss
7o3r1ib0,finished,legendary-sweep-107,71.01656579971313,665,1749832270.3331249,{'runtime': 71},0.0014667095383629205,0.08376438915729523,50,0.0024318594951182604,6349,4.034268856048584,0.1,0.1,0.01,0.001,10,0.1,0.001,0.1,200,1,Adam,,mse_loss
lyebpre3,finished,amber-sweep-106,70.36339735984802,665,1749832255.2022717,{'runtime': 71},0.05317385494709015,0.06812979280948639,50,0.002359227277338505,6349,4.028954982757568,0.1,0.1,0.01,0.01,10,0.1,0.01,0.1,200,1,Adam,,mse_loss
wg0g9vxz,finished,fresh-sweep-105,72.10654139518738,602,1749832236.6970074,{'runtime': 72},0.0036380826495587826,0.012041352689266205,75,0.002655666321516037,9499,1.8126976490020752,0.1,0.01,0.01,1e-06,10,0.1,1e-06,0.01,200,1,Adam,,mse_loss
9xuct0c9,finished,ethereal-sweep-104,71.62269520759583,602,1749832175.789538,{'runtime': 72},0.003954540938138962,0.012055742554366589,75,0.0026589231565594673,9499,1.811407208442688,0.1,0.01,0.01,1e-05,10,0.1,1e-05,0.01,200,1,Adam,,mse_loss
pjf1kt68,finished,dauntless-sweep-103,70.01118588447571,602,1749832165.524526,{'runtime': 70},0.002143846359103918,0.012312587350606918,75,0.0026450275909155607,9499,1.7916816473007202,0.1,0.01,0.01,0.0001,10,0.1,0.0001,0.01,200,1,Adam,,mse_loss
uscak5ux,finished,youthful-sweep-102,72.02837920188904,602,1749832142.1720233,{'runtime': 72},0.012816909700632095,0.00929469708353281,75,0.002652304247021675,9499,1.7904070615768433,0.1,0.01,0.01,0.001,10,0.1,0.001,0.01,200,1,Adam,,mse_loss
bb0qe3li,finished,firm-sweep-101,69.82860231399536,602,1749832076.8945682,{'runtime': 70},0.0189385749399662,0.007658480200916529,75,0.002651182934641838,9499,1.7851041555404663,0.1,0.01,0.01,0.01,10,0.1,0.01,0.01,200,1,Adam,,mse_loss
l5rnmn0p,finished,atomic-sweep-100,71.76971888542175,602,1749832049.8998108,{'runtime': 72},0.0036471588537096977,0.003402850590646267,75,0.002909971633926034,9499,1.5548551082611084,0.1,0.001,0.01,1e-06,10,0.1,1e-06,0.001,200,1,Adam,,mse_loss
ubdcchsl,finished,amber-sweep-99,71.52114081382751,602,1749832047.1965487,{'runtime': 72},0.003643759293481707,0.0034200178924947977,75,0.0029113939963281155,9499,1.5546746253967283,0.1,0.001,0.01,1e-05,10,0.1,1e-05,0.001,200,1,Adam,,mse_loss
9lsq4pr4,finished,atomic-sweep-98,56.89841413497925,490,1749831984.283168,{'runtime': 57},0.008222304284572601,0.03993023931980133,60,0.002992115216329694,7599,1.5514549016952517,0.1,0.001,0.01,0.0001,10,0.1,0.0001,0.001,200,1,Adam,,mse_loss
gkf7cavl,finished,eternal-sweep-97,58.47552514076233,490,1749831958.2561102,{'runtime': 59},0.051540717482566833,0.03940676525235176,60,0.002872232813388109,7599,1.549797296524048,0.1,0.001,0.01,0.001,10,0.1,0.001,0.001,200,1,Adam,,mse_loss
uytcgvt2,finished,helpful-sweep-96,71.19280481338501,602,1749831952.2585208,{'runtime': 71},0.009842541068792343,0.0012667443370446565,75,0.002925701905041933,9499,1.5265772342681885,0.1,0.001,0.01,0.01,10,0.1,0.01,0.001,200,1,Adam,,mse_loss
8rzd1bwi,finished,amber-sweep-95,56.982802391052246,490,1749831905.0113974,{'runtime': 57},-0.000506615440826863,0.040930625051259995,60,0.003017449751496315,7599,1.5468777418136597,0.1,0.0001,0.01,1e-06,10,0.1,1e-06,0.0001,200,1,Adam,,mse_loss
