gt_ridge,gt_rnv,target_norm,grad_r_norm,grad_rnv_norm,cos_target_r,cos_target_rnv,cos_r_rnv,std_ridge,std_rnv,std_ridge_err,std_rnv_err,norm_ridge,norm_rnv,norm_ridge_err,norm_rnv_err
0.0,0.0,0.005002283491194248,110.94375610351562,0.08492738753557205,0.022668760269880295,-0.008123289793729782,-6.51925802230835e-09,0.0049227564595639706,0.011269859969615936,0.49227564595639706,1.1269859969615936,8.297324029369975e-07,-0.0005571924992819396,8.297324029369975e-05,0.05571924992819396
0.0,0.05,0.002728820312768221,111.4000244140625,0.008420288562774658,0.028096724301576614,0.005605063401162624,3.026798367500305e-09,0.0049226838164031506,0.09901687502861023,0.49226838164031506,98.03375005722044,6.218072451477695e-07,0.003009092120398508,6.218072451477695e-05,93.98181575920297
0.0,0.1,0.002570168115198612,108.0025863647461,0.004644062370061874,0.0319148451089859,0.0056615425273776054,2.444721758365631e-09,0.004922730848193169,0.17552736401557922,0.49227308481931686,75.52736401557921,7.320681899330888e-07,0.00040458970586887915,7.320681899330888e-05,99.59541029413113
0.0,0.2,0.0015770967584103346,103.6072769165039,0.004461311735212803,0.03996126726269722,-0.0023651188239455223,-4.71482053399086e-09,0.004922674503177404,0.18254657089710236,0.49226745031774044,8.726714551448827,5.731645277882505e-07,0.0006725076999753722,5.731645277882505e-05,99.66374615001232
0.01,0.0,0.7398761510848999,19.4550838470459,0.2335277646780014,0.15597423911094666,3.347382880747318e-05,6.332993507385254e-08,0.023877527564764023,0.02755284309387207,138.77527564764023,2.755284309387207,0.005998196358825697,0.013215094368095905,40.01803641174303,1.3215094368095905
0.01,0.05,0.7110536694526672,19.983070373535156,0.14684346318244934,0.16220203042030334,0.018523400649428368,5.21540641784668e-08,0.02790236473083496,0.07937020063400269,179.02364730834958,58.74040126800536,0.005533306675023482,0.07590463114971192,44.66693324976518,51.80926229942384
0.01,0.1,0.7181950807571411,19.570173263549805,0.12018094956874847,0.16561980545520782,0.01174102257937193,4.470348358154297e-08,0.022622473537921906,0.09083390235900879,126.22473537921906,9.166097640991216,0.005887247441035686,0.0915559383799572,41.127525589643135,8.444061620042811
0.01,0.2,0.5999405384063721,20.252988815307617,0.09564980864524841,0.19193333387374878,0.017337946221232414,5.9371814131736755e-09,0.026389438658952713,0.1508658081293106,163.8943865895271,24.567095935344703,0.005443137163680308,0.14861418772529994,45.56862836319692,25.692906137350036
0.05,0.0,0.0643547996878624,0.2022562026977539,0.006370235234498978,0.23416128754615784,-1.5511584194882744e-07,1.3058604054094758e-05,0.06987002491950989,0.47178030014038086,39.74004983901977,47.178030014038086,0.04330855285623824,-1.812696485003541e-05,13.382894287523525,0.0018126964850035412
0.05,0.05,0.06442643702030182,1.5982518196105957,6.132956504821777,0.030290305614471436,-0.0006087851943448186,8.139759302139282e-07,0.011666746810078621,0.011397161521017551,76.66650637984276,77.2056769579649,0.0007094203199872903,-7.061090222257047e-06,98.58115936002542,100.01412218044452
0.05,0.1,0.06468234211206436,1.8928018808364868,1.7041388750076294,0.02830773964524269,-0.001985326875001192,3.46451997756958e-07,0.01892063580453396,0.018702134490013123,62.15872839093208,81.29786550998688,0.000637046072766253,-6.578913053568196e-05,98.7259078544675,100.06578913053568
0.05,0.2,0.06458017230033875,2.1423299312591553,2.1808602809906006,0.029633779078722,0.0015927692875266075,3.986060619354248e-07,0.017268812283873558,0.01707637496292591,65.46237543225288,91.46181251853704,0.0006405374186640901,4.539086443424754e-05,98.71892516267181,99.97730456778288
0.1,0.0,0.06541840732097626,0.1395365595817566,573.1264038085938,0.24288581311702728,-8.270631629645614e-14,0.0025949019473046064,0.015058434568345547,0.004922477062791586,84.94156543165445,0.4922477062791586,0.08103422139841765,-5.2387428393032746e-08,18.965778601582358,5.238742839303275e-06
0.1,0.05,0.0654381811618805,1.055942416191101,8.690887451171875,0.03254307433962822,0.00016997577040456235,2.086162567138672e-06,0.011896246112883091,0.011335083283483982,88.10375388711691,77.32983343303204,0.0014405465283097905,-8.268950601627189e-07,98.55945347169022,100.00165379012032
0.1,0.1,0.06546404212713242,1.2193694114685059,3.698878765106201,0.02796269953250885,1.4034318155609071e-05,1.253560185432434e-06,0.016130970790982246,0.015719294548034668,83.86902920901775,84.28070545196533,0.0010864468160738897,-2.8400512756952973e-06,98.91355318392611,100.00284005127568
0.1,0.2,0.06570767611265182,1.5483263731002808,4.195001602172852,0.02508770115673542,-0.0006383336731232703,8.055940270423889e-07,0.015997596085071564,0.015716731548309326,84.00240391492844,92.14163422584534,0.000749269044101456,-6.091538491850138e-06,99.25073095589855,100.00304576924593
