id,state,name,_runtime,_step,_timestamp,_wandb,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
9dxaxtdb,finished,ruby-sweep-17,52.12828779220581,320,1749663380.5054698,{'runtime': 52},0.004623689688742161,1.174710392951965,94,0.011192197911441326,11849,25.015277862548828,0.01,1.0,0.01,0.01,10,0.01,0.01,1.0,200,1,Adam,,mse_loss
pf78q5ef,finished,polar-sweep-16,70.73661804199219,616,1749663394.303146,{'runtime': 71},-0.013127037324011326,0.14060534536838531,50,0.002149937441572547,6349,3.071312427520752,0.01,0.1,0.01,0.01,10,0.01,0.01,0.1,200,1,Adam,,mse_loss
1uaicxdm,finished,magic-sweep-15,72.55362272262573,616,1749663393.147045,{'runtime': 73},-0.012776290997862816,0.04327951371669769,50,0.0026872390881180763,6349,0.9158989787101746,0.01,0.01,0.01,0.01,10,0.01,0.01,0.01,200,1,Adam,,mse_loss
dzbgtabz,finished,valiant-sweep-14,82.78112864494324,668,1749663352.3033288,{'runtime': 83},0.014796964824199677,0.03805829584598541,78,0.004395404364913702,9849,0.7343956828117371,0.01,0.001,0.01,0.01,10,0.01,0.01,0.001,200,1,Adam,,mse_loss
vbykzp8h,finished,divine-sweep-13,79.38279032707214,668,1749663342.8006754,{'runtime': 80},0.011255927383899689,0.03519517183303833,78,0.0048554278910160065,9849,0.7322039604187012,0.01,0.0001,0.01,0.01,10,0.01,0.01,0.0001,200,1,Adam,,mse_loss
uluruotk,finished,decent-sweep-12,53.61503529548645,321,1749663309.4019642,{'runtime': 54},-0.009990394115447998,9.99846363067627,100,0.09775658696889876,12599,140.8157958984375,0.001,10.0,0.01,0.01,10,0.001,0.01,10.0,200,1,Adam,,mse_loss
qtb968py,finished,robust-sweep-10,64.51931500434875,423,1749663308.441048,{'runtime': 65},-0.007556921802461147,0.10729581862688065,96,0.0033625932410359383,12099,2.8590598106384277,0.001,0.1,0.01,0.01,10,0.001,0.01,0.1,200,1,Adam,,mse_loss
um0hyg1u,finished,efficient-sweep-11,54.782609701156616,320,1749663298.6861446,{'runtime': 55},-0.003003485966473818,1.148193359375,94,0.010422838851809502,11849,23.68583106994629,0.001,1.0,0.01,0.01,10,0.001,0.01,1.0,200,1,Adam,,mse_loss
1c4n41se,finished,worthy-sweep-9,73.02420473098755,510,1749663309.3000686,{'runtime': 73},0.007701830472797155,-0.0029588353354483843,107,0.0026679993607103825,13499,0.6736469268798828,0.001,0.01,0.01,0.01,10,0.001,0.01,0.01,200,1,Adam,,mse_loss
iygawjne,finished,peach-sweep-8,62.998936891555786,452,1749663299.2481189,{'runtime': 63},0.008608104661107063,0.01040948648005724,84,0.0010806708596646786,10599,0.4820869565010071,0.001,0.001,0.01,0.01,10,0.001,0.01,0.001,200,1,Adam,,mse_loss
jq6tca8u,finished,wandering-sweep-7,62.81780481338501,452,1749663229.3460488,{'runtime': 63},0.00722412159666419,0.01121696550399065,84,0.0009716624626889824,10599,0.46497032046318054,0.001,0.0001,0.01,0.01,10,0.001,0.01,0.0001,200,1,Adam,,mse_loss
3rp9zv1v,finished,copper-sweep-6,57.48817682266235,321,1749663224.0406158,{'runtime': 58},-0.010371780022978784,9.992661476135254,100,0.09803039580583572,12599,140.76815795898438,0.0001,10.0,0.01,0.01,10,0.0001,0.01,10.0,200,1,Adam,,mse_loss
w6j5jrz0,finished,sweepy-sweep-5,55.610756158828735,320,1749663222.1918812,{'runtime': 56},-0.003716827603057027,1.1444284915924072,94,0.010338421911001204,11849,23.539634704589844,0.0001,1.0,0.01,0.01,10,0.0001,0.01,1.0,200,1,Adam,,mse_loss
ffxas4zf,finished,wise-sweep-1,46.10159254074097,278,1749663212.6425295,{'runtime': 46},0.0018442125292494893,0.005361649207770824,80,0.003643234493210912,10099,0.32255473732948303,0.0001,0.0001,0.01,0.01,10,0.0001,0.01,0.0001,200,1,Adam,,mse_loss
sysvnam5,finished,charmed-sweep-4,79.74405407905579,498,1749663246.27114,{'runtime': 80},-0.0033141241874545813,0.09417308121919632,126,0.00450304476544261,15849,2.713444948196411,0.0001,0.1,0.01,0.01,10,0.0001,0.01,0.1,200,1,Adam,,mse_loss
wd7yuypa,finished,summer-sweep-3,72.88635325431824,510,1749663239.4218843,{'runtime': 73},0.008894013240933418,-0.011772396974265575,107,0.0023863837122917175,13499,0.5400720834732056,0.0001,0.01,0.01,0.01,10,0.0001,0.01,0.01,200,1,Adam,,mse_loss
wo8773o4,finished,major-sweep-2,45.68492007255554,278,1749663212.2267811,{'runtime': 46},0.0026047476567327976,0.0023799322079867125,80,0.003400164656341076,10099,0.4075250327587128,0.0001,0.001,0.01,0.01,10,0.0001,0.01,0.001,200,1,Adam,,mse_loss
