id,state,name,_runtime,_step,_timestamp,_wandb,bias/theta_1,bias/theta_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,l1_lambda,l1_smooth,l2_lambda,in_features,out_features,optimizer_cls,hidden_features,grad_match_loss_fn
fss5h6kh,finished,stellar-sweep-161,58.38410019874573,344,1755902008.4961162,{'runtime': 59},-4.958484649658203,-4.894064903259277,109,0.017815090715885162,13749,144.11419677734375,10.0,0.01,0.01,0.01,10.0,0.01,0.01,10,1,Adam,200,mse_loss
3mgvgceb,finished,desert-sweep-160,78.29445481300354,454,1755902000.4199247,{'runtime': 78},-7.559654712677002,-7.179261684417725,153,0.0004214176151435822,19249,146.89064025878906,10.0,0.001,0.01,1e-06,10.0,1e-06,0.001,10,1,Adam,200,mse_loss
9ey4gsfq,finished,golden-sweep-159,77.64272928237915,454,1755901981.8332634,{'runtime': 78},-7.538448333740234,-7.1182780265808105,153,0.00042135664261877537,19249,146.63270568847656,10.0,0.001,0.01,1e-05,10.0,1e-05,0.001,10,1,Adam,200,mse_loss
4j4r2jbr,finished,leafy-sweep-158,78.79503631591797,454,1755901982.9628644,{'runtime': 79},-7.944304943084717,-6.792670726776123,153,0.0004203391436021775,19249,144.20655822753906,10.0,0.001,0.01,0.0001,10.0,0.0001,0.001,10,1,Adam,200,mse_loss
1eacpp3i,finished,rosy-sweep-157,35.926496744155884,221,1755901927.373768,{'runtime': 36},-0.6004645824432373,-0.5968888401985168,60,0.0001748962240526453,7599,144.11395263671875,10.0,0.001,0.01,0.001,10.0,0.001,0.001,10,1,Adam,200,mse_loss
40z5222d,finished,vital-sweep-156,58.74625945091248,344,1755901938.4089034,{'runtime': 59},-4.958188056945801,-4.893773078918457,109,0.01781509257853031,13749,144.11419677734375,10.0,0.001,0.01,0.01,10.0,0.01,0.001,10,1,Adam,200,mse_loss
qlrak1j1,finished,dry-sweep-155,79.52524089813232,454,1755901959.189226,{'runtime': 80},-7.465380668640137,-7.132436752319336,153,0.00042025846778415143,19249,146.88925170898438,10.0,0.0001,0.01,1e-06,10.0,1e-06,0.0001,10,1,Adam,200,mse_loss
0hgp9i7c,finished,devout-sweep-154,78.6534161567688,454,1755901929.650907,{'runtime': 79},-7.558153629302979,-7.226556777954102,153,0.0004216027446091175,19249,146.68304443359375,10.0,0.0001,0.01,1e-05,10.0,1e-05,0.0001,10,1,Adam,200,mse_loss
vsmgffg7,finished,elated-sweep-153,78.19873595237732,454,1755901898.973099,{'runtime': 78},-7.807687759399414,-6.3326497077941895,153,0.0004199116083327681,19249,144.20741271972656,10.0,0.0001,0.01,0.0001,10.0,0.0001,0.0001,10,1,Adam,200,mse_loss
1inzlyra,finished,vibrant-sweep-152,35.8112587928772,221,1755901856.6066818,{'runtime': 36},-0.22788506746292111,-0.2261003404855728,60,0.00020642300660256296,7599,144.11378479003906,10.0,0.0001,0.01,0.001,10.0,0.001,0.0001,10,1,Adam,200,mse_loss
rrc2b7fo,finished,copper-sweep-151,59.51343297958374,344,1755901865.515631,{'runtime': 60},-4.9579758644104,-4.893571853637695,109,0.01781509257853031,13749,144.11419677734375,10.0,0.0001,0.01,0.01,10.0,0.01,0.0001,10,1,Adam,200,mse_loss
he1piou4,finished,wild-sweep-150,78.33083248138428,454,1755901881.6552143,{'runtime': 78},-7.575865268707275,-7.587072849273682,153,0.00042309731361456215,19249,144.35964965820312,1.0,10.0,0.01,1e-06,1.0,1e-06,10.0,10,1,Adam,200,mse_loss
36cox81l,finished,unique-sweep-149,77.33023571968079,454,1755901880.5505495,{'runtime': 77},-7.560140609741211,-7.534173488616943,153,0.00042271692655049264,19249,144.3378143310547,1.0,10.0,0.01,1e-05,1.0,1e-05,10.0,10,1,Adam,200,mse_loss
ry8w1t6k,finished,copper-sweep-148,58.97088313102722,344,1755901858.924934,{'runtime': 59},-6.429904937744141,-6.382203578948975,109,0.017816638574004173,13749,144.11895751953125,1.0,10.0,0.01,0.0001,1.0,0.0001,10.0,10,1,Adam,200,mse_loss
zf93qplq,finished,restful-sweep-147,58.19112730026245,344,1755901828.8327322,{'runtime': 58},-5.703073024749756,-5.541535377502441,109,0.017823750153183937,13749,144.11387634277344,1.0,10.0,0.01,0.001,1.0,0.001,10.0,10,1,Adam,200,mse_loss
qpgxe04f,finished,stilted-sweep-146,34.697842836380005,221,1755901797.3897707,{'runtime': 35},-0.14459048211574554,-0.1444501280784607,60,0.0002060445985989645,7599,144.1138458251953,1.0,10.0,0.01,0.01,1.0,0.01,10.0,10,1,Adam,200,mse_loss
abcvzskg,finished,lucky-sweep-145,43.85055160522461,293,1755901799.9581983,{'runtime': 44},-4.716529846191406,0.36399978399276733,65,0.017915356904268265,8249,97.50576782226562,1.0,1.0,0.01,1e-06,1.0,1e-06,1.0,10,1,Adam,200,mse_loss
0tlquin4,finished,icy-sweep-144,44.213842153549194,293,1755901785.6573012,{'runtime': 44},-4.7168989181518555,0.3639265298843384,65,0.017911914736032486,8249,97.51690673828124,1.0,1.0,0.01,1e-05,1.0,1e-05,1.0,10,1,Adam,200,mse_loss
r4f8lset,finished,glad-sweep-143,39.87692999839783,273,1755901781.318344,{'runtime': 40},-4.038418292999268,0.31486818194389343,57,0.02400599978864193,7249,97.28033447265624,1.0,1.0,0.01,0.0001,1.0,0.0001,1.0,10,1,Adam,200,mse_loss
49dltgpl,finished,colorful-sweep-142,39.192760944366455,273,1755901751.228996,{'runtime': 39},-0.560373067855835,0.18217208981513977,57,0.02423001267015934,7249,97.26422119140624,1.0,1.0,0.01,0.001,1.0,0.001,1.0,10,1,Adam,200,mse_loss
x39qnujz,finished,celestial-sweep-141,42.29389309883118,319,1755901741.195836,{'runtime': 43},-0.0009628599509596824,0.05459586903452873,53,0.03128804266452789,6749,61.21646881103515,1.0,1.0,0.01,0.01,1.0,0.01,1.0,10,1,Adam,200,mse_loss
jsbvwgim,finished,lunar-sweep-140,104.61213564872742,841,1755901782.2730436,{'runtime': 105},-5.156118392944336,-1.1316142082214355,123,0.013169866055250168,15499,28.438777923583984,1.0,0.1,0.01,1e-06,1.0,1e-06,0.1,10,1,Adam,200,mse_loss
sjdq95qa,finished,woven-sweep-139,106.22089099884032,840,1755901781.058935,{'runtime': 106},-5.137852668762207,-1.1399093866348269,120,0.018717007711529732,15099,28.441370010375977,1.0,0.1,0.01,1e-05,1.0,1e-05,0.1,10,1,Adam,200,mse_loss
q2knpqag,finished,glorious-sweep-138,82.88360810279846,676,1755901734.4409,{'runtime': 83},-2.47168493270874,-1.1722407341003418,81,0.0276264064013958,10249,28.21662139892578,1.0,0.1,0.01,0.0001,1.0,0.0001,0.1,10,1,Adam,200,mse_loss
7bqa0ge0,finished,magic-sweep-137,85.8040919303894,648,1755901718.4600198,{'runtime': 86},-0.12032221257686616,-1.9744722843170168,102,0.010752224363386633,12849,28.193408966064453,1.0,0.1,0.01,0.001,1.0,0.001,0.1,10,1,Adam,200,mse_loss
