function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
linear,1,64,0.1,0.0001,1,0.002141500420495868,,21.415004204958677,21.415004204958677
linear,1,64,0.1,0.001,1,0.0018343206718564032,,1.8343206718564031,1.8343206718564031
linear,1,64,0.1,0.01,1,0.004436404220759868,,0.4436404220759868,0.4436404220759868
linear,1,64,0.1,0.1,1,0.018637785315513605,,0.18637785315513605,0.18637785315513605
linear,1,64,0.1,1.0,1,0.014375448226928713,,0.014375448226928713,0.014375448226928713
linear,1,128,0.1,0.0001,1,0.00275237083658576,,27.5237083658576,27.5237083658576
linear,1,128,0.1,0.001,1,0.008414664469659328,,8.414664469659327,8.414664469659327
linear,1,128,0.1,0.01,1,7.994264364242533e-05,,0.007994264364242533,0.007994264364242533
linear,1,128,0.1,0.1,1,0.03626983761787414,,0.3626983761787414,0.3626983761787414
linear,1,128,0.1,1.0,1,0.02019333839416504,,0.02019333839416504,0.02019333839416504
linear,1,256,0.1,0.0001,1,0.0014875109238550066,,14.875109238550063,14.875109238550063
linear,1,256,0.1,0.001,1,0.0024561612624675036,,2.4561612624675035,2.4561612624675035
linear,1,256,0.1,0.01,1,0.008417811933904886,,0.8417811933904886,0.8417811933904886
linear,1,256,0.1,0.1,1,0.03060913980007171,,0.3060913980007171,0.3060913980007171
linear,1,256,0.1,1.0,1,0.006698012351989746,,0.006698012351989746,0.006698012351989746
linear,3,64,0.1,0.0001,1,0.0064541177660226825,,64.54117766022682,64.54117766022682
linear,3,64,0.1,0.001,1,0.016941616475582122,,16.941616475582123,16.941616475582123
linear,3,64,0.1,0.01,1,0.010729398045223206,,1.0729398045223206,1.0729398045223206
linear,3,64,0.1,0.1,1,0.018066740036010748,,0.18066740036010748,0.18066740036010748
linear,3,64,0.1,1.0,1,0.26427561044692993,,0.26427561044692993,0.26427561044692993
linear,3,128,0.1,0.0001,1,0.000757351638842374,,7.57351638842374,7.57351638842374
linear,3,128,0.1,0.001,1,0.01921492798626423,,19.21492798626423,19.21492798626423
linear,3,128,0.1,0.01,1,0.006295937821269035,,0.6295937821269035,0.6295937821269035
linear,3,128,0.1,0.1,1,0.07757411561906338,,0.7757411561906338,0.7757411561906338
linear,3,128,0.1,1.0,1,0.1430344581604004,,0.1430344581604004,0.1430344581604004
linear,3,256,0.1,0.0001,1,0.008876405826210975,,88.76405826210974,88.76405826210974
linear,3,256,0.1,0.001,1,0.007637718994170427,,7.637718994170427,7.637718994170427
linear,3,256,0.1,0.01,1,0.03157956689596176,,3.1579566895961757,3.1579566895961757
linear,3,256,0.1,0.1,1,0.04567526131868363,,0.4567526131868363,0.4567526131868363
linear,3,256,0.1,1.0,1,0.32277876138687134,,0.32277876138687134,0.32277876138687134
linear,5,64,0.1,0.0001,1,0.0025580211706459524,,25.58021170645952,25.58021170645952
linear,5,64,0.1,0.001,1,0.007824525400996207,,7.824525400996207,7.824525400996207
linear,5,64,0.1,0.01,1,0.013690373850986362,,1.3690373850986362,1.3690373850986362
linear,5,64,0.1,0.1,1,0.0941153689287603,,0.9411536892876028,0.9411536892876028
linear,5,64,0.1,1.0,1,0.5582584142684937,,0.5582584142684937,0.5582584142684937
linear,5,128,0.1,0.0001,1,0.0022491692263633014,,22.491692263633013,22.491692263633013
linear,5,128,0.1,0.001,1,0.004310255706310272,,4.310255706310272,4.310255706310272
linear,5,128,0.1,0.01,1,0.006057613752782345,,0.6057613752782345,0.6057613752782345
linear,5,128,0.1,0.1,1,0.04714749157428741,,0.4714749157428741,0.4714749157428741
linear,5,128,0.1,1.0,1,0.02258747816085815,,0.02258747816085815,0.02258747816085815
linear,5,256,0.1,0.0001,1,0.0020139171440154316,,20.13917144015431,20.13917144015431
linear,5,256,0.1,0.001,1,0.013050594203174117,,13.050594203174114,13.050594203174114
linear,5,256,0.1,0.01,1,0.050896818041801455,,5.089681804180145,5.089681804180145
linear,5,256,0.1,0.1,1,0.0057533070445060785,,0.057533070445060785,0.057533070445060785
linear,5,256,0.1,1.0,1,0.5279571712017059,,0.5279571712017059,0.5279571712017059
polynomial,1,64,0.1,0.0001,1,101.95277322998048,,1019527.7322998046,1019527.7322998046
polynomial,1,64,0.1,0.001,1,101.95278112792968,,101952.78112792967,101952.78112792967
polynomial,1,64,0.1,0.01,1,101.95277618408204,,10195.277618408203,10195.277618408203
polynomial,1,64,0.1,0.1,1,101.95276489257812,,1019.5276489257812,1019.5276489257812
polynomial,1,64,0.1,1.0,1,101.95272827148438,,101.95272827148438,101.95272827148438
polynomial,1,128,0.1,0.0001,1,25.33287538757324,,253328.7538757324,253328.7538757324
polynomial,1,128,0.1,0.001,1,25.33287756347656,,25332.87756347656,25332.87756347656
polynomial,1,128,0.1,0.01,1,25.332878341674803,,2533.2878341674805,2533.2878341674805
polynomial,1,128,0.1,0.1,1,25.332880401611327,,253.32880401611325,253.32880401611325
polynomial,1,128,0.1,1.0,1,25.332876205444336,,25.332876205444336,25.332876205444336
polynomial,1,256,0.1,0.0001,1,30.42999376525879,,304299.9376525879,304299.9376525879
polynomial,1,256,0.1,0.001,1,30.429994033813475,,30429.994033813473,30429.994033813473
polynomial,1,256,0.1,0.01,1,30.429994812011717,,3042.999481201172,3042.999481201172
polynomial,1,256,0.1,0.1,1,30.429998779296874,,304.2999877929687,304.2999877929687
polynomial,1,256,0.1,1.0,1,30.42997932434082,,30.42997932434082,30.42997932434082
polynomial,3,64,0.1,0.0001,1,14.823381559753418,,148233.81559753418,148233.81559753418
polynomial,3,64,0.1,0.001,1,18.960387634277343,,18960.387634277344,18960.387634277344
polynomial,3,64,0.1,0.01,1,11.043563117980955,,1104.3563117980957,1104.3563117980957
polynomial,3,64,0.1,0.1,1,7.345818901062012,,73.45818901062012,73.45818901062012
polynomial,3,64,0.1,1.0,1,9.522500991821287,,9.522500991821287,9.522500991821287
polynomial,3,128,0.1,0.0001,1,10.45340742340088,,104534.0742340088,104534.0742340088
polynomial,3,128,0.1,0.001,1,10.9471258392334,,10947.125839233398,10947.125839233398
polynomial,3,128,0.1,0.01,1,11.166198959350586,,1116.6198959350586,1116.6198959350586
polynomial,3,128,0.1,0.1,1,9.21083393096924,,92.10833930969238,92.10833930969238
polynomial,3,128,0.1,1.0,1,17.537139892578125,,17.537139892578125,17.537139892578125
polynomial,3,256,0.1,0.0001,1,15.039550917053225,,150395.50917053223,150395.50917053223
polynomial,3,256,0.1,0.001,1,15.131678031921387,,15131.678031921389,15131.678031921389
polynomial,3,256,0.1,0.01,1,11.612979164123535,,1161.2979164123535,1161.2979164123535
polynomial,3,256,0.1,0.1,1,8.538734817504883,,85.38734817504883,85.38734817504883
polynomial,3,256,0.1,1.0,1,12.764887809753418,,12.764887809753418,12.764887809753418
polynomial,5,64,0.1,0.0001,1,21.795090811157227,,217950.90811157227,217950.90811157227
polynomial,5,64,0.1,0.001,1,10.497298645019532,,10497.298645019531,10497.298645019531
polynomial,5,64,0.1,0.01,1,6.100698223114014,,610.0698223114014,610.0698223114014
polynomial,5,64,0.1,0.1,1,10.564130401611328,,105.64130401611328,105.64130401611328
polynomial,5,64,0.1,1.0,1,4.274753570556641,,4.274753570556641,4.274753570556641
polynomial,5,128,0.1,0.0001,1,3.6903594566345217,,36903.594566345215,36903.594566345215
polynomial,5,128,0.1,0.001,1,21.589603973388673,,21589.603973388672,21589.603973388672
polynomial,5,128,0.1,0.01,1,17.400384674072267,,1740.0384674072268,1740.0384674072268
polynomial,5,128,0.1,0.1,1,13.450301551818848,,134.50301551818848,134.50301551818848
polynomial,5,128,0.1,1.0,1,17.38184356689453,,17.38184356689453,17.38184356689453
polynomial,5,256,0.1,0.0001,1,16.441304342651367,,164413.04342651367,164413.04342651367
polynomial,5,256,0.1,0.001,1,7.0434103736877445,,7043.410373687744,7043.410373687744
polynomial,5,256,0.1,0.01,1,24.737894287109373,,2473.7894287109375,2473.7894287109375
polynomial,5,256,0.1,0.1,1,13.65201416015625,,136.5201416015625,136.5201416015625
polynomial,5,256,0.1,1.0,1,2.8146334886550903,,2.8146334886550903,2.8146334886550903
sine,1,64,0.1,0.0001,1,0.0006771089345216752,,6.771089345216751,6.771089345216751
sine,1,64,0.1,0.001,1,0.0002280101655051112,,0.2280101655051112,0.2280101655051112
sine,1,64,0.1,0.01,1,0.0010985785722732542,,0.1098578572273254,0.1098578572273254
sine,1,64,0.1,0.1,1,0.020972745120525355,,0.20972745120525357,0.20972745120525357
sine,1,64,0.1,1.0,1,0.20058727264404297,,0.20058727264404297,0.20058727264404297
sine,1,128,0.1,0.0001,1,0.0008086442296393215,,8.086442296393216,8.086442296393216
sine,1,128,0.1,0.001,1,0.001210159320384264,,1.210159320384264,1.210159320384264
sine,1,128,0.1,0.01,1,0.003730153422802687,,0.3730153422802686,0.3730153422802686
sine,1,128,0.1,0.1,1,0.003895936906337744,,0.03895936906337744,0.03895936906337744
sine,1,128,0.1,1.0,1,0.3000475764274597,,0.3000475764274597,0.3000475764274597
sine,1,256,0.1,0.0001,1,3.75772022176534e-05,,0.375772022176534,0.375772022176534
sine,1,256,0.1,0.001,1,0.0008740006489679217,,0.8740006489679217,0.8740006489679217
sine,1,256,0.1,0.01,1,0.003973527569323778,,0.3973527569323778,0.3973527569323778
sine,1,256,0.1,0.1,1,0.01807487159967422,,0.1807487159967422,0.1807487159967422
sine,1,256,0.1,1.0,1,0.19876062870025635,,0.19876062870025635,0.19876062870025635
sine,3,64,0.1,0.0001,1,0.00022255326146259903,,2.2255326146259904,2.2255326146259904
sine,3,64,0.1,0.001,1,0.0004282279880717397,,0.4282279880717396,0.4282279880717396
sine,3,64,0.1,0.01,1,0.006748517267405987,,0.6748517267405987,0.6748517267405987
sine,3,64,0.1,0.1,1,0.04866739511489867,,0.4866739511489867,0.4866739511489867
sine,3,64,0.1,1.0,1,0.786862850189209,,0.786862850189209,0.786862850189209
sine,3,128,0.1,0.0001,1,0.00016338588213548065,,1.6338588213548064,1.6338588213548064
