epoch,step,train/accuracy_epoch,train/l2_penalty_epoch,train/loss_epoch,val/accuracy,val/loss
0,843,,,,0.9623333215713501,0.1221858412027359
0,843,0.9042962789535522,0.04037323594093323,0.35313770174980164,,
1,1687,,,,0.9698333144187927,0.10305147618055344
1,1687,0.9538148045539856,0.04172324016690254,0.19098134338855743,,
2,2531,,,,0.9726666808128357,0.09080018103122711
2,2531,0.9644444584846497,0.04240546375513077,0.16057199239730835,,
